Five-Digit ZIP Code,Year,Annual Change (%),HPI,HPI with 1990 base,HPI with 2000 base,Location
20170,2021,8.31,854.87,283.8,234.14,Herndon
20170,2022,10.36,943.42,313.19,258.39,Herndon
20170,2023,7.42,1013.39,336.42,277.55,Herndon
20170,2024,6.09,1075.12,356.91,294.46,Herndon
20171,2021,5.96,887.23,289.52,230.94,Herndon
20171,2022,5.03,931.88,304.09,242.57,Herndon
20171,2023,2.18,952.18,310.72,247.85,Herndon
20171,2024,11.05,1057.43,345.06,275.25,Herndon
20190,2021,12.17,726.65,308.56,268.96,Herndon
20190,2022,,,,,Herndon
20190,2023,,,,,Herndon
20190,2024,,,,,Herndon
20191,2021,5.93,873.14,294.49,254.89,Herndon
20191,2022,2.42,894.23,301.61,261.05,Herndon
20191,2023,11.17,994.13,335.3,290.21,Herndon
20191,2024,21.86,1211.4,408.58,353.64,Herndon
20194,2021,6.26,515.73,287.45,240.7,Herndon
20194,2022,0.36,517.58,288.48,241.56,Herndon
20194,2023,,,,,Herndon
20194,2024,,623.23,347.36,290.86,Herndon
22201,2021,0.88,1856.98,427.98,294.06,Arlington
22201,2022,13.67,2110.77,486.47,334.25,Arlington
22201,2023,2.87,2171.42,500.45,343.85,Arlington
22201,2024,6.85,2320.24,534.75,367.42,Arlington
22202,2021,4.1,825.47,333.56,287.58,Arlington
22202,2022,7.61,888.28,358.94,309.47,Arlington
22202,2023,3.45,918.94,371.33,320.15,Arlington
22202,2024,2.45,941.46,380.43,327.99,Arlington
22203,2021,3.95,973.3,369.31,295.3,Arlington
22203,2022,8.28,1053.87,399.88,319.75,Arlington
22203,2023,0.83,1062.66,403.22,322.41,Arlington
22203,2024,10.65,1175.86,446.17,356.76,Arlington
22204,2021,6.77,1418.32,386.32,325.16,Arlington
22204,2022,4.21,1478.07,402.59,338.86,Arlington
22204,2023,2.65,1517.28,413.27,347.85,Arlington
22204,2024,6.23,1611.87,439.04,369.54,Arlington
22205,2021,3.38,1476.26,384.31,292.29,Arlington
22205,2022,10.19,1626.7,423.47,322.08,Arlington
22205,2023,1.39,1649.32,429.36,326.56,Arlington
22205,2024,8.1,1782.83,464.11,352.99,Arlington
22206,2021,7.76,628.47,417.6,349.59,Arlington
22206,2022,5.19,661.06,439.26,367.72,Arlington
22206,2023,0.42,663.84,441.1,369.27,Arlington
22206,2024,-2.56,646.81,429.79,359.79,Arlington
22207,2021,3.04,1413.11,357.77,277.24,Arlington
22207,2022,11.78,1579.54,399.9,309.89,Arlington
22207,2023,-0.33,1574.3,398.57,308.86,Arlington
22207,2024,7.71,1695.74,429.32,332.69,Arlington
22209,2021,-0.32,212.54,,,Arlington
22209,2022,,,,,Arlington
22209,2023,,,,,Arlington
22209,2024,,,,,Arlington
22213,2021,-2.98,535.23,351.07,272.13,Arlington
22213,2022,3.18,552.27,362.24,280.79,Arlington
22213,2023,,,,,Arlington
22213,2024,,627.43,411.55,319.01,Arlington
